system;ArchiMob baseline;whisper-large Sicard et al.;whisper-medium Sicard et al.;whisper-small Sicard et al.;whisper-base Sicard et al.;whisper-tiny Sciard et al.;NNET-DISC Nigmatulina;TDNN-iVector Nigmatulina;XLSR Lexicon-Free Khosravani et al.;XLSR Baseline Khosravani et al.;XLSR manual normalization Khosravani et al.;XLSR automatic normalization Khosravani et al.;System a Schraner et al.;System b Schraner et al.;System c Schraner et al.;System d Schraner et al.;FHNW XLS-R Schraner et al.;FHNW Transformer Schraner et al.
ArchiMob baseline;1.0
whisper-large Sicard et al.;1.0;1.0
whisper-medium Sicard et al.;0.33333333333333337;0.33333333333333337;1.0
whisper-small Sicard et al.;0.33333333333333337;0.33333333333333337;1.0;1.0
whisper-base Sicard et al.;0.33333333333333337;0.33333333333333337;1.0;1.0;1.0
whisper-tiny Sciard et al.;0.33333333333333337;0.33333333333333337;1.0;1.0;1.0;1.0
NNET-DISC Nigmatulina;0.33333333333333337;0.33333333333333337;1.0;1.0;1.0;1.0;1.0
TDNN-iVector Nigmatulina;0.33333333333333337;0.33333333333333337;1.0;1.0;1.0;1.0;1.0;1.0
XLSR Lexicon-Free Khosravani et al.;-1.0;-1.0;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;1.0
XLSR Baseline Khosravani et al.;-1.0;-1.0;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;1.0;1.0
XLSR manual normalization Khosravani et al.;-1.0;-1.0;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;1.0;1.0;1.0
XLSR automatic normalization Khosravani et al.;-1.0;-1.0;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;1.0;1.0;1.0;1.0
System a Schraner et al.;1.0;1.0;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.33333333333333337;-1.0;-1.0;-1.0;-1.0;1.0
System b Schraner et al.;0.33333333333333337;0.33333333333333337;1.0;1.0;1.0;1.0;1.0;1.0;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;0.33333333333333337;1.0
System c Schraner et al.;1.0;1.0;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.33333333333333337;-1.0;-1.0;-1.0;-1.0;1.0;0.33333333333333337;1.0
System d Schraner et al.;0.33333333333333337;0.33333333333333337;1.0;1.0;1.0;1.0;1.0;1.0;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;0.33333333333333337;1.0;0.33333333333333337;1.0
FHNW XLS-R Schraner et al.;0.33333333333333337;0.33333333333333337;1.0;1.0;1.0;1.0;1.0;1.0;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;0.33333333333333337;1.0;0.33333333333333337;1.0;1.0
FHNW Transformer Schraner et al.;0.33333333333333337;0.33333333333333337;1.0;1.0;1.0;1.0;1.0;1.0;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;-0.33333333333333337;0.33333333333333337;1.0;0.33333333333333337;1.0;1.0;1.0
